;31.557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Part;Prix;Value;Device;Package;Description;MOUSER;MOUSER_PART_NUMBER;Mfr. No:;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;PACKAGING;PART-NUMBER;PINS;POPULARITY;PRICE;PU;RS_PART_NUMBER;RS_PRICE-STOCK;SPICEPREFIX;SUSUMU;TAIYO_YUDEN;TDK;TP_SIGNAL_NAME;TYPE;VALUE;VISHAY;WORKING-VOLTAGE
C1;0.75;1uF;C-EUC1812K;C1812K;CAPACITOR, European symbol;810-CGA8P3X7T2E105MA;;CGA8P3X7T2E105M250KA;;;;;;;;;;0;;1.07;;;C;;;C4532X7T2E105M250KE;;;;;
C2;0.75;1uF;C-EUC1812K;C1812K;CAPACITOR, European symbol;810-CGA8P3X7T2E105MA;;;;;;;;;;;;0;;1.07;;;C;;;C4532X7T2E105M250KE;;;;;
C3;0.669;0.1uF;C-EUC1808;C1808;CAPACITOR, European symbol;581-1808PC104KAT1A;;1808PC104KAT1A;;;;;;;;;;0;;0.88;;;C;;;;;;;;
C4;0.101;100nF;C-EUC1812K;C1812K;CAPACITOR, European symbol;;;;;;;;;;;;;;;;;;;;;;;;;;
C5;0.046;220pF;C-EUC0402;C0402;CAPACITOR, European symbol;963-LMK042B7221KC-W;;LMK042B7221KC-W;;;;;;;;;;18;;;;;C;;;;;;;;
C6;0.24;100pF;C-EUC0805;C0805;CAPACITOR, European symbol;81-GCM21A5C2E101JX1D;;GCM21A5C2E101JX01D;;;;;;;;;;88;;0.319;;;C;;;;;;;;
C7;0.165;430pF;C-EUC0805;C0805;CAPACITOR, European symbol;581-08055A431JAT4A;;08055A431JAT4A;;;;;;;;;;88;;0.23;;;C;;;;;;;;
C8;1.23;100uF ;C-EUC1210;C1210;CAPACITOR, European symbol;963-EMK325ABJ107MM-P;;EMK325ABJ107MM-P;;;;;;;;;;0;;;;;C;;EMK325ABJ107MM-P;;;;;;
C10;0.101;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;963-EMF212B7104KGHT;;;;;;;;;;;;88;;0.23;;;C;;;;;;;;
C11;0.084;1nF;C-EUC0805;C0805;CAPACITOR, European symbol;710-885382207004;;;;;;;;;;;;88;;0.122;;;C;;;;;;;;
C12;0.669;0.1uF;C-EUC1808;C1808;CAPACITOR, European symbol;581-1808PC104KAT1A;;;;;;;;;;;;0;;0.88;;;C;;;;;;;;
C14;0.391;47uF;C-EUC1210;C1210;CAPACITOR, European symbol;963-EMK325BJ476MM-P;;;;;;;;;;;;0;;;;;C;;;;;;;;
C15;0.15;560pF/250V;C-EUC0603;C0603;CAPACITOR, European symbol;80-C0603C561JAG;;;;;;;;;;;;73;;0.038;;;C;;;;;;;;
C16;1.23;100uF;C-EUC1210;C1210;CAPACITOR, European symbol;963-EMK325ABJ107MM-P;;;;;;;;;;;;0;;;;;C;;EMK325ABJ107MM-P;;;;;;
C18;0.052;0.1uF;C-EUC0402;C0402;CAPACITOR, European symbol;963-LMF105B7104KVHF;;;;;;;;;;;;18;;0.676;;;C;;;;;;;;
C20;;0.1uF;CAP0805-NP;CAP0805-NP;;;;;;;;;;;;;;;;;;;;;;;;;;;
C21;2.42;0.33F;AHG-35/100-RADIAL;ELNA21.5X8.0;AUDYN® - AHG Gepolt, radial;555-DBN-5R5D334T;;DBN-5R5D334T;;;;;;;;;;;;2.46;;;;;;;;;;;
